Comment,Prediction
明明 下午 3 . 沒 啥 客人 怎麼 有 辦法 和 客人 在 外面 等 帶位 等 至少 20 分鐘 ？   甚至 連點餐 也 是 ， 客人 喊 請問 可以 點餐 嗎 ？ 也 愛搭 不理 ， 甚至 餐點 上 麵 類也 未 標示 清楚 。 難道 需要 客人 通靈 ？   貴 公司 服務 上還 需加 強感謝 。,0
送 錯餐 這種 荒謬 的 事情 ， 害 我 現場 等 40 分鐘 沒 吃 到 餐 ， 興致 全失 。 下次 不會來 了 。   餐點 ： 3 / 5     |     服務 ： 1 / 5     |     氣氛 ： 3 / 5,0
,0
氣氛 很 好   食物 不錯,0
來 了 好 幾次 ， 經濟 又 實惠 ， 環境 也 很 乾淨 舒服   240 元 的 明太子 蝦仁 ， 搭配 飲料 110 元半價 55 元   240 元 的 泡菜 起司 焗 烤 豬肉 斜管 麵 也 超 好吃   老 闆 服務態度 很 好 ， 也 不會 趕人 ， 每次 都 來 順便 看個 書 ， 還   附免 費冰 檸檬水 跟 冰水   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5,0
價位 不算 高 但 東西 很 好吃 ， 出餐 速度 也 算 快 ， 推一個,0
服務態度 有夠 差 ， 我 都 說 點餐 了 在 那麼 說 沒 差先 帶位 是 在 哈 嘍 ？,0
高鐵路 過時 ， 剛好 來 吃 個 晚餐 ， 整體 而言 ， 蒜 炒義 大利 麵 相當 不錯 ， 蒜末 給的 大方 ， 帶出 清炒 的 香氣 與 甘甜 。     是 一個 人 想 吃 意大利 麵 時 ， 會來 的 店家 。     特殊 餐點 ： 蒜 香義 大利 麵   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5,0
點的 是 紅酒 燉 牛肉 蛋包 飯 ， 紅酒 燉 牛肉 還行 ， 但 蛋包 飯 、 脆薯 完全 是 冷掉 的 ， 裡頭 的 番茄 炒飯 也 非常 普通 ， 完全 沒有 300 元 的 價值,0
餐點 ： 3 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5,1
,0
每次 點肉 醬 焗 麵 或是 焗 飯 都 說 沒肉 醬   餐點 ： 1 / 5     |     服務 ： 2 / 5     |     氣氛 ： 2 / 5     建議 的 餐點,0
入座 後 即 告知 店員 可以 直接 點餐 ， 店員 也 向 我們 確認 了 餐點 ， 但 約 莫 20 分鐘後才 來 了 另外 一位 店員向 我們 詢問 是否 有點 單 ， 再次 告知 我們 已 經點 過餐 後 又過 了 五分 鐘才 拿到 帳單 ， 從 帳單 顯示 的 打單 時間 來 看 是 在 第二次 詢問 我們 之後才 輸入 進去 的 ， 等 於 說 我們 前面 20 分鐘 完全 在 白等餐 ， 又過 了 大約 20 分鐘 我們 才 拿到 了 我們 的 第一份 餐 ， 等 於 我們 等 上餐 時間 等 了 有 40 分鐘 之久 ， 員工 訓練 尚須 加強 ， 服務上 我 只能 給一顆 星 。   餐點 中 規中矩 ， 不特別 好吃 但 也 不 難 吃 ， 給三顆 星 。   餐點 ： 3 / 5     |     服務 ： 1 / 5     |     氣氛 ： 5 / 5,0
濃燉 紅酒 牛肉 飯,0
蛋包 飯裡面 的 飯 很 酸 ， 炸雞肉 跟 脆薯 還行 ， 重點 是 我點 了 香蕉 牛奶 ， 服務員 直接 在 我 面前 拿 著紙 吸管 的 頭端 緩緩 插 進去 飲料裡 ， 手指 也 很 髒 ， 當下 瞄到 整個 傻 爆眼 ， 後 場弄 沒 看到 就算 了 ， 在 客人 面前 這樣 弄 ， 覺得 噁,0
照燒 雞 蛋包 飯 套餐   雞腿 很 乾 、 茄汁 很酸 、 薯條 很 鹹   白酒 蛤蜊 義 大利 麵 套餐   不喜歡 的 調味   套餐 附 的 濃湯 不錯   香蕉 牛奶 很甜 非常 稀   兩人共花費 561 元   CP 值低   兩分給 服務態度 優良,0
蛋包 飯裡面 的 飯 一 坨 一 坨 的 ， 有些 飯 還是 白色 沒有 入味 ， 服務 是 不錯 ！,0
餐點 好吃 ， 服務 周到 。   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5,1
奶油 魚排 歐姆蛋 （ $ 250 + 1 成 = $ 275 ） 吃 起來 還行 ， 魚排 炸得 口感 適中 ， 稍少 的 奶油 醬 和 茄汁 蛋包 飯 也 中 規中矩 ， 副餐 的 胡麻 醬 沙拉 和湯 也 ok ， 但 奶茶 比 早餐 店 的 還難 喝 很多 ， 奶茶 很 不行 。 店內 坐 起來 還算 舒適 。,0
一份 餐點 等 44 分鐘     這也 太 誇張     12 : 01 分進 餐廳     12 : 45 分才 上餐     請 店家 可以 在 菜 單上 提醒     製 作 時 間 比 較 長     畢竟 在 車站 要 趕車 的 人 比 較 多,0
座位 空間 算是 寬敞   焗 烤 也 算是 好吃   點餐 加點 的 奶茶 紅茶 可以 續杯,0
CP 值極 低,0
,0
餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5,1
,0
長 髮 馬 尾 戴 眼鏡 的 女 店員   非常 親切 細心,0
沙拉 跟 濃湯 尚可 ， 主餐 的 義 大利 麵 跟 飲料 不錯 。,0
不大行 ， 餐點 很慢 ， 說 是 鍋子 壞 了 ， 另外 兒子點 的 豬排 蛋包 飯 ， 豬排 的 品質 很 不行 ， 蛋 裏 面 的 飯 也 是 太 黏 ? ? 個 人覺 得 很雷,0
外表 整潔 ， 實則 不然 ， 菜單 打開 直接 一 隻 小 蟑螂 ， 裝 茶水 又 一 隻 ， 用餐 前 請 三思,0
員工 一邊 做餐 一邊 跟 同事 用 手機 ， 最 可怕 的 是 環境 衛生 不佳 ， 用餐 到 一半 ， 餐椅 爬 出 一 隻 蟑螂 ， 完全 不想 再 多 坐 一秒 。,0
紅酒 燉 牛肉 極雷   稀 的 跟 水一樣 ， 幾乎 沒 味道   牛肉 4 塊 ， 普通   很久以前 吃過 不是 這個 味道 啊   份量 明顯 縮水   唯一 好吃 的 是 薯條 ( 但 應該 是 現 成品   絕 不再 訪,0
現場 候位 說 要 等 2 - 30 分鐘 ， 請 我們 留聯絡 資料 ， 結果 半小時 過後沒消 沒息 ， 回 店面 去 看 ， 原本 說要 留給 我們 的 桌次 給別 人 坐 了 ， 問負責 登記 的 服務生 ， 竟然 隨意 的 回 了 一句 ： 「 喔   忘 了 留給 你 們 了 。 」   感覺 真的 很差 ， 這種 紕 漏 跟 應 對 方式 真的 很 糟糕 ！ ！ ！,0
店長 親切 有 內涵 。 層次 分明 的 悉心 介紹 用餐 品項 。 最 推薦 鐵板 炸 豬排 蛋包 飯 。 酥脆 口感 。 可爾 必思 飲料 我 也 大 推 * * 濃湯 內 有 蔨 菇 及洋蔥 絲 很 是 爽口 。 沙拉 份量 內用 較 多 。 位子 有限 。 決定 好 就 去 品嚐 看看 吧 ～ 價位 實在 。   除了   蛋包 飯 還有   義 大利 麵     無障礙 設施 ： 如果 有次 設備 。 媽媽 也 能 享受 簡單 幸福 美食,0
點了 雞肉 焗 烤 ， 除了 太油 膩 ， 有些 雞肉 已經 發酸到 很 明顯 ， 回家 果然 拉肚子 ? ♀ ?,0
,0
跟 女友 來 吃點 了 奶油 魚排 歐姆 蛋包 飯 跟 咖喱 炸雞 歐姆 蛋包 飯 ， 整體 不錯 ， 就是 那個 蛋包 下面 的 番茄 （ 炒 ？ ） 飯過 於 濕潤 而 難以 入口 ， 建議 避開 。 但是 主菜 以及 附餐 的 沙拉 和 濃湯 是 好吃 的 ， 給 大家 參考 。   餐點 500 + 10%,0
奶油 焗 飯 的 奶油 沒有 奶油味   肉類 咖哩 蛋包 飯 的 肉 有 肉 腥味   旁邊 的 維尼熊 在 椅子 上   超 容易 用 倒   咖喱 普通 薯塊 好吃,0
很 普通 的 咖哩 ， 飯有點 乾 ， 上面 白色 的 部分 本來 以 為 是 水波 蛋 ， 但 應該 是 奶油 類的 東西 ， 剛好 我 很 不 愛 ... 生菜 很 一般 ， 店內 空調 有 點熱 ， 外面 的 地下街 都 比店 內涼爽 ， 但 服務態度 加分,0
經過然 後 就 被 店裡 超大 隻 的 維尼 吸引 進去 了 ！ ！ ！ ！ ！ 可惜 沒有 安排 坐在 一起   餐點 很 好吃 喔 店員 也 很 親切   希望 下次 去 可以 跟維尼 坐 ！ ！,0
整體 環境 還算 舒適 ， 餐點 的 部分 尚可 ， 炸雞 確實 還不錯 ， 酥脆 且 保有 汁水 和 溫度 ， 唯獨 香蕉 牛奶 120 我 和 朋友 很 開心 的 點了 但是 非真 香蕉 牛奶 ， 整體 最 失望 的 就是 這杯 了 其他 都還 尚可,0
餐點 很 好吃 ， 服務人員 態度 很 好 ， 因為 是 孕婦 無法 吃酒 的 料理 ， 立馬 幫忙 重 炒 一盤 ， 非常 感謝 ！ 以後會 多 去 吃,0
飲料 半價 水果 茶 ， 說 要 去 冰 ， 店員 完全 不假思索 直接 說 沒 辦法 ！ ！ ！ 至少 可以 給予 少冰 的 建議 吧 ！   結果 水果 茶 一上 來 ， 冰塊 竟然 一杯 至少 給我個 七分 滿 ！       不愛冰塊 的 我 ， 只好 一顆顆 挑起 ～   然後餐點 份量 極少 ， 完全 無法 吃 飽,0
季節 限定 的 咖哩 炸雞 歐姆 蛋包 飯不錯 ， 附濃湯 、 沙拉 和 飲料 ， 以 250 元 的 價位 來 說 很 平價 ， 份量 足 吃 得 很 撐 ！   But 去 冰 奶茶 味道 不足 ， 奶精 粉 溶解 不全 ， 希望 能 改善 ！,0
辦事 經過 台北 車站 就 在 這裡 吃 ， 最近 人開始 多 了 ， 這家 座位 空間 比較 舒適 就 進來 了 。   咖哩 炸雞 起司 焗 麵   $ 250   附濃湯 和 沙拉   餐點 中 規中矩 ， 炸雞 很 酥脆 ， 我 是 蠻 喜歡 這種 脆度 的 。 但 咖哩 有 比 想像中 少   店員 還不錯 親切 ， 還好 沒有 評論 說 的 態度 不好 。,0
紫蘇海 鮮義 大利 麵 同桌 大人 小孩 都 覺得 特別 好吃 ， 價位 跟 附近 店家 比 在 中間 ， 跟 一般 義 大利 麵 店 便宜 一點點 ， 240 元義 大利 麵 有 花枝 、 大蝦 仁 、 小 番茄 、 洋蔥 、 九層 塔 、 蛤蜊 ， 味道 很 好 ， 另外 我點 鮮醇 奶茶 可以 續杯 ， 但 很大 一杯 我續 不了 ， 但 很 好吃 、 另外 有點 奶油 蝦仁 焗 烤 麵 也 好吃 ， 還有 幾樣 餐點 ， 整體 口味 不錯,0
,0
,0
今天 點了 壽喜 牛肉 歐姆 蛋包 飯   整晚 都 是 油   很難 下 嚥 ！,0
很 失望 ， 筆管 麵 吃 起來 無 口感 ， 醬 也 不 多,0
味道 普通 ， 在 車站 位置 很 方便,0
太久 沒來 吃 。 今天 回來 回味 一下   真心 推薦   紫蘇海 鮮義 大利 麵 。 炸雞   店員 今天 直接 把 我 帶位 跟 小熊 維尼 同桌   覺得 很 開心,0
食物 好吃 ， 價格 也 不會 很貴 ， 閒暇 可以 來 吃 看看,0
送餐 送 錯   點 咖哩 拿 白醬   沒有 核對 餐點   還要 收 10% 服務費   還不 知道 是不是 別人 吃過 的   有 沒 有 重 做,0
服務生 的 口 條及 語氣 ， 可以 採 自然 ? 話 的 表達 即可 ， 想求 專業 ， 反而 做作 的 感覺 ， 根本 就 聽 不 明白 在 說 什麼 了 。,0
食材 鮮美 . 服務親 和 . 有家 的 感覺 .,0
餐前 濃湯 跟 沙拉 ， 以及 飲品 的 部分 都 很棒 ， 重點 就 在 主餐 ( 點了 奶油 培根 義 大利 麵 跟 青醬 燻 雞義 大利 麵 ) 都 超 鹹 ！ 吃 了 三分之一 左右 就膩 了 … 喜歡 重 鹹 口味 的 可以 考慮,0
牛肉 醬 是 水狀 的 … 稀到 不行 ( 很 像 摻水 做 的 )   服務人員 雖然 有 重上 一份 但 還是 一樣 稀   態度 很 好 有 協助 打 八折 還行   但 難 吃 的 感覺 印象 太 深刻 了 不會 再 去 。,0
餐點 都 調味 得 恰到 好 處 ， 好吃,0
白醬魚 吃 到 快 吐 ， 太膩 ， 同學 還吃到 別人 吃過 的 ， 還送 錯餐,0
,0
,0
,0
,0
都 超 好吃 的 ！ 讚 ！,0
好吃,0
,0
環境 優良   東西 好吃,0
,0
,0
價格 偏高 ， 但 服務好 ， 桌子 確實 消毒 。   主餐 附湯 、 沙拉 。,0
,0
,0
,0
炸雞塊 、 薯條 、 外 酥 內軟 、 雞塊還 很 juicy   、 蛋包 飯 也 好吃 、 漢堡 排 味道 可以 、 但 有 咬 到 很多 筋 、 稍微 差 了 一丁 點 、 奶茶 好喝 、 青梅 果醋 就 有 一點 淡 、 服務 很 好 、 環境 寬 敞舒適,0
對 於 帶 小孩 的 客人 很 貼心 親切 ， 滿懷 感謝,0
"店家 用心 防疫   服務態度 好   ！   防疫 部分 ：   每個 桌子 都 有 透明 隔板   嚴格 遵守 防疫 規定   兩人 也 是 坐 斜 對角 , 用餐 時 注意 到 隔壁 桌 客人 離場   服務生 立刻 消毒 擦拭 桌面   讓 人覺 得 放心   服務生 態度 也 很 好 , 用餐 期間 不 小心 弄臟 衣服   我 正在 擦拭     服務生 眼明手快   立刻 拿 沾溼 的 衛生 紙給 我   真的 貼心 ！ ！   我 這次點 的 是 海鮮義 大利 麵   肉質 鮮美   好吃 ！ 平時 不 太 吃 土司 類   因為 朋友 想 吃   加點 明太子 吐司   意外 的 好吃 ！   整體 好 評五顆 星",0
蕈 菇 PASTA 居然 是 金 針菇 ， 不喜勿點 。   主食 附贈 湯品 及 沙拉 ， CP 值 頗 高 。   餐點 味道 算 好吃 。 推薦給 附近 上班族 ~,0
這裡 的 餐點 都 很 好吃   用餐 環境 也 很 好   一定 還會 再 來,0
用餐 環境 不錯 ！ 餐點 cp 值高 ！ 點了 拿 鐵 咖啡 很 好喝 問了 工作 人員 原來 是 用 雀巢 Nespresso 咖啡 系統 ！,0
套餐 口味 佳 ， 性價 比高 。,0
服務 貼心 、 餐點 水準 以上,0
員工 在 走廊 親切 的 招呼 介紹 餐點 ！   食物 好吃 … 微 解封 後 開放 內部 用餐   都 有 為 客人 分配 梅花 坐   環境 乾淨 安心 都 有 隨時 在 清掃 消毒,0
,0
在 疫情 前 就 有 來 吃 過幾次   蛋包 飯 一直 都 很 不錯   但是 這次 肉 的 部分 有些 乾柴 有點 失望,0
經過 幾次 決定 踏進 這間 ， 服務 尚可 ， 餐點 算 普通 ， 但 不值 價位 ， 店內 環境 佳 ！ 2184,0
,0
收 10% 服務費 態度 還超差   送 帳單 直接 丟在 桌子 中間 是 怎樣 ？ ？,0
250 套餐 ， 還好 就 一般 簡餐 ， 倒 是 鬆 餅 100 還蠻 好吃 的 ， 之後有 可能 會 專程 來 吃 鬆 餅 ， 哈哈 ！,0
