id,username,msgtime,star,comment,effflag,storeid,segmented
597,林燕燕,4 個月前,5,,0,1734,
598,Claude Ku,4 個月前,5,非常好吃的老店 餐點：5/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 三杯臭豆腐,0,1734,非常 好吃 的 老店   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 3 / 5     建議 的 餐點   三杯 臭豆腐
599,湯明珠,4 個月前,5,好吃美食又便宜的老地方，家人聚餐、請客的首選！小菜到位：苦瓜、茄子，保有食材特色的好吃！碗豆雞絲，嫩香；牛肉捲餅，肉多Q彈；香軟的盒菜帶帽必加荷葉餅；羊羹更不能錯過；小籠包滿口香；鐵板豆腐配上清爽的拌白菜心；必點的韭黃鱔糊：完全滿足想念美食的食慾！大推！ 112.6.23.再訪 想念的老味道，一樣好吃的美食！ 吃完看了照片，莞爾一笑：怎麼喜歡吃的菜色都沒有變： 特愛的牛肉捲餅、京都排骨、合菜戴帽和荷葉餅、炒鱔糊、涼拌白菜心！再來個炒豆苗！ 這裡的麵食，真是一絕！（可惜停售：牛肉餡餅、木須炒刀削麵，好想念喔） 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 豌豆雞絲 雪凍羊羔 涼拌菜 牛肉捲餅 小黃瓜小菜 炸芝麻球 蔥油餅,0,1734,好吃 美食 又 便宜 的 老 地方 ， 家人 聚餐 、 請客 的 首選 ！ 小菜 到位 ： 苦瓜 、 茄子 ， 保有 食材 特色 的 好吃 ！ 碗豆 雞絲 ， 嫩 香 ； 牛肉 捲 餅 ， 肉多 Q 彈 ； 香軟 的 盒 菜 帶帽 必加 荷葉餅 ； 羊羹 更 不能 錯過 ； 小籠 包滿 口香 ； 鐵板 豆腐 配 上 清爽 的 拌 白菜心 ； 必點 的 韭黃鱔 糊 ： 完全 滿足 想念 美食 的 食 慾 ！ 大 推 ！   112.6 . 23 . 再訪   想念 的 老 味道 ， 一樣 好吃 的 美食 ！   吃 完 看 了 照片 ， 莞爾一笑 ： 怎麼 喜歡 吃 的 菜色 都 沒 有 變 ：   特愛的 牛肉 捲 餅 、 京都 排骨 、 合菜 戴帽 和 荷葉餅 、 炒鱔 糊 、 涼拌 白菜心 ！ 再來 個 炒 豆苗 ！   這裡 的 麵 食 ， 真是 一絕 ！ （ 可惜 停售 ： 牛肉 餡餅 、 木須 炒 刀削 麵 ， 好 想念 喔 ）   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   豌豆 雞絲   雪凍 羊羔   涼拌 菜   牛肉 捲 餅   小黃瓜 小菜   炸 芝麻 球   蔥油餅
600,Kiki Yang,4 個月前,4,一家饕客都知道的老店，老師傅的廚藝，不油不膩的真功夫好吃，值得品嚐。,0,1734,一家 饕客 都 知道 的 老店 ， 老師傅 的 廚藝 ， 不油 不膩 的 真功夫 好吃 ， 值得 品嚐 。
601,蔡昆?,4 個月前,3,建議的餐點 豌豆雞絲,1,1734,建議 的 餐點   豌豆 雞絲
602,吳育弘,4 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 小籠包,0,1734,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   小籠 包
603,曹繼仁,5 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：3/5,0,1734,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 3 / 5
604,????,5 個月前,1,一個坑外國人的地方，我就是溝通不了，又不想打架，所以最後付出了很多。 餐點：2/5  |  服務：1/5  |  氣氛：1/5,0,1734,一個 坑 外國人 的 地方 ， 我 就是 溝通 不了 ， 又 不想 打架 ， 所以 最 後 付出 了 很多 。   餐點 ： 2 / 5     |     服務 ： 1 / 5     |     氣氛 ： 1 / 5
605,簡國隆,5 個月前,4,餐點：4/5,0,1734,餐點 ： 4 / 5
606,梁依霏,5 個月前,4,建議的餐點 三杯臭豆腐 牛肉捲餅,0,1734,建議 的 餐點   三杯 臭豆腐   牛肉 捲 餅
607,aphelio719,5 個月前,5,炸醬麵超好吃  必點,1,1734,炸醬 麵 超 好吃     必點
608,HUI FANG SUNG,5 個月前,3,激勵自己努力工作。小份豆乾牛肉絲+1份蔥油餅+10%服務費=590元 中山站附近的天廚餐廳，比較讓我沒壓力,0,1734,激勵 自己 努力 工作 。 小份 豆 乾 牛肉 絲 + 1 份 蔥 油餅 + 10% 服務費 = 590 元   中山站 附近 的 天廚 餐廳 ， 比較 讓 我 沒 壓力
609,Jasmine Yen,5 個月前,3,,0,1734,
610,WY Y,5 個月前,5,味道非常好吃。進餐廳之前請確保肚子是空的，好味道才能完整裝入。 建議的餐點 豌豆雞絲 涼拌菜 蔥爆 牛肉 蔥油餅,0,1734,味道 非常 好吃 。 進餐 廳 之前 請 確保 肚子 是 空 的 ， 好 味道 才能 完整 裝入 。   建議 的 餐點   豌豆 雞絲   涼拌 菜   蔥 爆   牛肉   蔥油餅
611,william cheng,5 個月前,4,,1,1734,
612,Martin Zhang,5 個月前,5,東西好吃，服務親切！ ??更多,0,1734,東西 好吃 ， 服務 親切 ！   ? ? 更 多
613,張張璠NTC,5 個月前,3,,0,1734,
614,衛阿衛,5 個月前,1,12:30訂位，超過時間沒人帶位，去櫃檯問才開始知會前一輪客人離席 12:40入座還被告知菜單不夠要等，過了十分鐘後又問了一次能不能拿菜單來，店員完全沒有任何回應，叫人也當作聽不到。 這種服務品質，不用吃飯就已經足以給予一星,0,1734,12 : 30 訂位 ， 超過 時間 沒人 帶位 ， 去櫃 檯 問才 開始 知會前 一輪 客人 離席   12 : 40 入座 還被 告知 菜 單不夠 要 等 ， 過了 十分 鐘後又問 了 一次 能 不能 拿菜 單來 ， 店員 完全 沒有 任何 回應 ， 叫 人 也 當作 聽 不到 。   這種 服務品 質 ， 不用 吃 飯 就 已經 足以 給予 一星
615,明源,5 個月前,4,口味可以,0,1734,口味 可以
616,永正,6 個月前,4,更多,0,1734,更 多
617,Marc Juang,6 個月前,4,,0,1734,
618,stone fooder,6 個月前,5,北平上園樓已經是超過一甲子的老店，特別要稱讚他們的前菜-小魚乾很夠味，超適合當下酒 菜，大菜也都非常道地，不愧說是老店老口碑的餐館，值得推  用餐環境也許有人會覺得稍嫌 狹窄吵雜，但我覺得有濃濃的人情味，很像過年團圓的感覺超熱鬧，這次只有三人用餐，點不了太多，還有超多想嘗試的菜單，道地的北平菜在台北已經愈來愈少了，會再回訪的！ ??更多,0,1734,北平 上園樓 已經 是 超過 一甲子 的 老店 ， 特別 要 稱 讚 他 們 的 前 菜 - 小魚 乾 很夠 味 ， 超適 合當 下酒   菜 ， 大菜 也 都 非常 道 地 ， 不愧 說 是 老店 老 口碑 的 餐館 ， 值得 推     用餐 環境 也許 有人 會覺 得 稍嫌   狹窄 吵雜 ， 但 我 覺得 有 濃濃 的 人情味 ， 很 像 過年 團圓 的 感覺 超熱鬧 ， 這次 只有 三人 用餐 ， 點 不了 太 多 ， 還有 超多想 嘗試 的 菜 單 ， 道 地 的 北平 菜 在 台北 已經 愈來 愈少 了 ， 會 再 回訪 的 ！   ? ? 更 多
619,Asheley Rebelde,6 個月前,1,不好吃 吃到的餐點味跟我這幾年在山西五星級酒樓、一般街坊小吃餐館吃到的不一樣，山西的比較好吃，這裡的大概是口味停留在上個世紀的山西。價格也很不山西，正統山西菜才沒這麼貴,0,1734,不 好吃   吃 到 的 餐點味 跟 我 這幾年 在 山西 五星 級 酒樓 、 一般 街坊 小吃 餐館 吃 到 的 不 一樣 ， 山西 的 比 較 好吃 ， 這裡 的 大概 是 口味 停留 在 上個 世紀 的 山西 。 價格 也 很 不 山西 ， 正統 山西 菜 才 沒 這麼 貴
620,Chopin Mishelles,6 個月前,1,酸白菜銅鍋中一份 剛剛好分額 味道真的很一斑斑完全沒有味道 ??更多,0,1734,酸 白菜 銅鍋 中 一份   剛剛 好 分額   味道 真的 很 一 斑斑 完全 沒有 味道   ? ? 更 多
621,Paula Auyang,1 天前,2,"食物不到驚艷的程度，但味道都很okay, 環境氣氛適合三五人小聚，但今天運氣不好，遇上臭臉服務人員！另外，用餐限2小時！",0,1735,"食物 不到 驚艷 的 程度 ， 但 味道 都 很 okay ,   環境 氣氛 適合 三五 人小聚 ， 但 今天 運氣 不好 ， 遇上 臭臉 服務人員 ！ 另外 ， 用餐 限 2 小時 ！"
622,vivi,2 週前,3,環境舒適也很安靜，店員的服務也都蠻積極主動 食物偏一般沒有特別驚艷的一道 比較有記憶點的應該是雞軟骨，肉與軟骨的比例剛好味道也不錯 餐點：3/5  |  服務：5/5  |  氣氛：4/5,1,1735,環境 舒適 也 很安靜 ， 店員 的 服務 也 都 蠻積 極主動   食物 偏 一般 沒有 特別 驚艷 的 一道   比較 有 記憶點 的 應該 是 雞 軟骨 ， 肉 與 軟骨 的 比例 剛好 味道 也 不錯   餐點 ： 3 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
623,wei lee,3 週前,4,,0,1735,
624,minju,3 週前,4,餐點很好吃，但入座時未告知用餐時間限制，2小時一到沒說清楚就直接要收走未用畢的餐點、碗盤，有點被強制請離開，建議記得先詢問是否有時間限制，以免影響用餐心情 餐點：5/5  |  服務：3/5  |  氣氛：5/5,0,1735,餐點 很 好吃 ， 但 入座 時未 告知 用餐 時間 限制 ， 2 小時 一到 沒 說 清楚 就 直接 要 收走 未用 畢 的 餐點 、 碗盤 ， 有點 被 強制 請 離開 ， 建議 記得 先詢問 是否 有 時間 限制 ， 以免 影響 用餐 心情   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 5 / 5
625,super bread,3 週前,4,今個旅程最後一晚，選了這間「璞滿滿」居洒屋，店內氣氛相當熱鬧，食物水準算不錯，但沒什麼驚喜。摩摩及沖繩山苦瓜炒蛋是當中較突出的兩味。  生意超好，要一試的記得要訂位呀。  #珍味海哲頭 #喜相逢 #青甘魚下巴 #摩摩 #大根橙醋豬肉捲 #海老紫五蘇花捲 #沖繩山苦瓜炒蛋  #璞滿滿 100台灣台北市中正區徐州路34號 +886 2 2322 4843 餐點：3/5  |  服務：3/5  |  氣氛：4/5  建議的餐點 大根橙醋豬肉捲 生食干貝 大蝦 烤喜相逢,1,1735,今個 旅程 最後一晚 ， 選了 這間 「 璞 滿滿 」 居洒 屋 ， 店內 氣氛 相當 熱鬧 ， 食物 水準 算 不錯 ， 但 沒什麼 驚喜 。 摩摩及 沖 繩山 苦瓜 炒蛋 是 當中 較 突出 的 兩味 。     生意 超好 ， 要 一試 的 記得 要 訂位 呀 。     # 珍味 海哲頭   # 喜相逢   # 青甘魚 下巴   # 摩摩   # 大根橙醋 豬肉 捲   # 海老 紫五蘇花 捲   # 沖 繩山 苦瓜 炒蛋     # 璞 滿滿   100 台灣 台北市 中正 區 徐州 路 34 號   + 886   2   2322   4843   餐點 ： 3 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   大根橙醋 豬肉 捲   生食 干貝   大蝦   烤 喜相逢
626,黃成宇,3 週前,5,,0,1735,
627,Lily Tseng (Lily),3 週前,5,餐點口味屬於一般好吃，除了「酪梨莎莎豬肉捲」外沒有特別驚豔的（也可能是我們沒有點到）  氣氛很讚很讚！而且好像沒有限時，待的很舒服 有吧台適合1-2人，桌位適合3-4人，也有小包廂適合更多人的聚餐  每人會招待雞白湯一碗，暖胃好喝！好希望可以續XD 整體價位中偏高一點 餐點：4/5  |  服務：5/5  |  氣氛：5/5,1,1735,餐點 口味 屬 於 一般 好吃 ， 除了 「 酪梨莎莎 豬肉 捲 」 外 沒 有 特別 驚 豔 的 （ 也 可能 是 我們 沒有點 到 ）     氣氛 很 讚 很 讚 ！ 而且 好像 沒 有限 時 ， 待 的 很 舒服   有 吧台 適合 1 - 2 人 ， 桌位 適合 3 - 4 人 ， 也 有 小包 廂 適合 更 多 人 的 聚餐     每人 會 招待 雞白湯 一碗 ， 暖 胃 好喝 ！ 好 希望 可以 續 XD   整體 價位 中 偏 高一 點   餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
628,游嘉?,1 個月前,5,以前對居酒屋沒什麼特別的感想 但吃完這間會讓你愛上居酒屋    停車場：店門口兩排車位時段性收費 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 南蠻唐揚雞 雞肉丸  停車位 很多停車位  附近的停車場 免費路邊停車 付費路邊停車,0,1735,以前 對居 酒屋 沒什麼 特別 的 感想   但 吃 完 這間 會 讓 你 愛上 居酒 屋         停車場 ： 店門口 兩排 車位 時 段性 收費   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   南蠻 唐揚 雞   雞 肉丸     停車位   很多 停車位     附近 的 停車場   免費 路邊 停車   付費 路邊 停車
629,Claire Lee,1 個月前,5,餐點：4/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 大阪炒麵,0,1735,餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   大阪 炒 麵
630,Jason Chiang (ixj),1 個月前,5,,0,1735,
631,呂俊毅,1 個月前,5,餐點：5/5  |  服務：4/5  |  氣氛：5/5  建議的餐點,0,1735,餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5     建議 的 餐點
632,joanne yeh,1 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：5/5,1,1735,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
633,Cheng-Hong Tsai (Xavier),1 個月前,5,,0,1735,
634,Maxo Chen,1 個月前,5,,1,1735,
635,Hank Lee,1 個月前,5,好吃新鮮又美味，裝潢不錯，燈光美氣氛佳 餐點：5/5  |  服務：3/5  |  氣氛：5/5,0,1735,好吃 新鮮 又 美味 ， 裝潢 不錯 ， 燈光 美氣 氛佳   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 5 / 5
636,ZYK,1 個月前,4,喜歡老房子的風格 餐點都還不錯 上餐速度快 雖然桌子有點小，但圓桌很適合聊天 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1735,喜歡 老房子 的 風格   餐點 都 還不錯   上餐 速度 快   雖然 桌子 有點 小 ， 但 圓桌 很 適合 聊天   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
637,Mandy Chen,2 個月前,5,餐點：5/5  |  服務：4/5  |  氣氛：5/5,0,1735,餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
638,C H,2 個月前,4,?大根橙醋豬肉卷$140 豬肉卷形狀頗可愛，不過味道上就中規中矩，不像奶油明太子有驚豔 上面的蘿蔔泥入口偏涼，但下面的豬肉卷卻是熱騰騰的，滿特別的 ?奶油明太子烏龍$250 裡頭有小塊雞肉、菇、切成細絲的洋蔥 麵條吃著Q彈有勁，醬汁也很和諧，奶油的濃醇、胡椒的嗆辣、明太子的鮮味，讓人一口接著一口，份量不大   招待雞白湯一碗，似乎沒提供水   收取10%服務費   如果中午有營業或是賣便當就更好了,0,1735,? 大根橙醋 豬肉 卷 $ 140   豬肉卷 形狀 頗 可 愛 ， 不過 味道 上 就 中 規中矩 ， 不像 奶油 明太子 有 驚 豔   上面 的 蘿 蔔 泥 入口 偏涼 ， 但 下面 的 豬肉 卷 卻 是 熱騰騰 的 ， 滿特別 的   ? 奶油 明太子 烏龍 $ 250   裡頭 有 小塊 雞肉 、 菇 、 切成 細絲 的 洋蔥   麵 條吃著 Q 彈有 勁 ， 醬汁 也 很和諧 ， 奶油 的 濃醇 、 胡椒 的 嗆 辣 、 明太子 的 鮮味 ， 讓 人 一口 接著 一口 ， 份量 不 大       招待 雞白湯 一碗 ， 似乎 沒 提供 水       收取 10% 服務費       如果 中午 有營業 或是 賣 便當 就 更好 了
639,黃建為,2 個月前,5,烤串都很好吃 主食三種，炒麵，烏龍麵，炒飯也都很好吃 沖繩苦瓜也很棒 推薦小酌的好去處 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 松阪豬炒水蓮 雞肉丸 烤秋葵,0,1735,烤串 都 很 好吃   主食 三種 ， 炒 麵 ， 烏龍 麵 ， 炒飯 也 都 很 好吃   沖 繩 苦瓜 也 很棒   推薦 小酌 的 好 去 處   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   松阪豬 炒 水蓮   雞 肉丸   烤 秋葵
640,QYC,2 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1735,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
641,Abby Liu,2 個月前,5,氛圍很棒 餐點美味 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 大蔥豬肉捲 剝皮辣椒起司牛肉捲,0,1735,氛圍 很棒   餐點 美味   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   大蔥 豬肉 捲   剝皮 辣椒 起司 牛肉 捲
642,李嘉哲,2 個月前,4,餐點：4/5  |  服務：4/5  |  氣氛：5/5,1,1735,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
643,Sun,2 個月前,4,明太子烏龍麵的明太子醬不像以前那麼多了 餐點：4/5  |  服務：3/5  |  氣氛：4/5,0,1735,明太子 烏龍 麵 的 明太子 醬 不 像 以前 那麼 多 了   餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5
644,WEI,3 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1735,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
645,Amber Huang,3 個月前,5,很讚，每道料理都在水準之上，每人會有一碗雞湯，要趁熱喝 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 南蠻唐揚雞,0,1735,很 讚 ， 每道 料理 都 在 水準 之上 ， 每人 會 有 一碗 雞湯 ， 要 趁熱 喝   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   南蠻 唐揚 雞
646,Syuan Wu,3 個月前,5,超好吃,0,1735,超 好吃
647,Harry Liu,3 個月前,4,菜色口味可以，但價位不便宜 餐點：4/5  |  服務：5/5  |  氣氛：5/5,0,1735,菜色 口味 可以 ， 但 價位 不 便宜   餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
648,Bai,3 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1735,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
649,Tina,3 個月前,3,食物跟氛圍不錯，但外場的服務跟人員真的有待加強！明明才剛營業沒多久，除了點餐人員外，其他人感覺很沒有熱忱，而且進來到離開都沒有聽到歡迎光臨跟謝謝的聲音。另外既然限時120分鐘，點餐時不能提醒用餐時間剩多久嗎？ 我們點了第二次餐點跟大杯啤酒後，最後時間剩10分鐘就拿了帳單叫我們結帳因為後面還有客人預約，也不管桌上是否還有食物跟酒！ 建議之後可以提早提醒客人剩下多少用餐時間、加點的食物跟酒是否吃的完跟喝的完！ 餐點：5/5  |  服務：3/5  |  氣氛：5/5,0,1735,食物 跟 氛圍 不錯 ， 但 外場 的 服務 跟 人員 真的 有待 加強 ！ 明明 才 剛營業 沒 多久 ， 除了 點餐 人員外 ， 其他人 感覺 很 沒 有 熱忱 ， 而且 進來 到 離開 都 沒 有 聽 到 歡迎 光臨 跟 謝謝 的 聲音 。 另外 既然 限時 120 分鐘 ， 點餐 時 不能 提醒 用餐 時間 剩 多久 嗎 ？   我們 點了 第二次 餐點 跟 大杯 啤酒 後 ， 最後時間 剩 10 分鐘 就 拿 了 帳單 叫 我們 結帳 因為後面 還有 客人 預約 ， 也 不管 桌上 是否 還有 食物 跟 酒 ！   建議 之 後 可以 提早 提醒 客人 剩下 多少 用餐 時間 、 加點 的 食物 跟 酒 是否 吃 的 完 跟 喝 的 完 ！   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 5 / 5
650,盧德原,3 個月前,5,,0,1735,
651,阿貓,3 個月前,5,裝潢很棒、氣氛佳 食物也相當好吃，完全無雷 適合與朋友小聚 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1735,裝潢 很棒 、 氣氛 佳   食物 也 相當 好吃 ， 完全 無雷   適合 與 朋友 小聚   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
652,駱貞芬,3 個月前,5,東西好吃 環境優雅 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1735,東西 好吃   環境 優雅   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
653,elly Kuo,3 個月前,4,空間氛圍不錯 但可以再涼爽一點 如果是吃比較清淡的人，會覺得口味稍鹹 餐點：4/5  |  服務：4/5  |  氣氛：5/5  建議的餐點 奶油明太子烏龍,1,1735,空間 氛圍 不錯   但 可以 再涼爽 一點   如果 是 吃 比 較 清淡 的 人 ， 會覺 得 口味 稍 鹹   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   奶油 明太子 烏龍
654,嘉敏,3 個月前,5,精緻好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1735,精 緻 好吃   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
655,廖蛋蛋,3 個月前,1,7/13用餐，想了幾天實在還是氣不過，服務態度極差 服務：1/5,1,1735,7 / 13 用餐 ， 想 了 幾天實 在 還是 氣不過 ， 服務態度 極差   服務 ： 1 / 5
656,黃尚民,3 個月前,1,外場服務人員態度極差，欠打 服務：1/5,0,1735,外場 服務人員 態度 極差 ， 欠 打   服務 ： 1 / 5
657,yc wu,4 個月前,5,很用心，食物都在水準之上,1,1735,很 用心 ， 食物 都 在 水準 之上
658,Eddie Huang,4 個月前,5,東西好吃，整個空間氛圍很好。感覺有一種到日本旅行的感覺。 餐點：5/5  |  服務：4/5  |  氣氛：4/5,0,1735,東西 好吃 ， 整個 空間 氛圍 很 好 。 感覺 有 一種 到 日本 旅行 的 感覺 。   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
