comment
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
菜單上寫的都是小份的價錢，也沒備註會依人數做調整什麼的 吃到一半覺得份量怎麼這麼多，原來服務人員點餐全部直接幫我們點中份。 結帳時是說在點餐時有告知都點中份，但我們記得只有東坡肉和菜飯兩樣有特別詢問而已。 幫老人家慶生是開心就好，但根本就吃！不！完??????超。浪費。== 來點餐要注意：） 不然不注意就當冤大頭了?
餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 削肉凍 蟹黃豆腐煲
點過蟹黃豆腐菜飯餐盒好幾次 之前都是蛋豆腐 這次換成一般豆腐 大小跟味道都不對 難吃死了
餐點：3/5  |  服務：3/5  |  氣氛：2/5
"good,功夫菜，越來越少，還行 餐點：4/5  |  服務：4/5  |  氣氛：4/5"
服務態度很差，只是想要個冰塊不給？ 餐點：3/5  |  服務：1/5  |  氣氛：1/5
就像你在天堂一樣 餐點：5/5  |  服務：5/5  |  氣氛：5/5
好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5
長輩非常喜歡的聚餐地點 餐點：5/5  |  服務：5/5  |  氣氛：5/5
垃圾店家！ 餐點：1/5  |  服務：1/5  |  氣氛：1/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5
好吃！
好吃，物廉價美，服務姊姊親切
口味：一篤鮮非常難喝，味道像是大骨湯放些筍子跟肉，向餐廳反應，重作一份後，味道還是一樣難喝，餐廳解釋因為做台式口味比較淡，但 貴餐廳不是標榜江浙菜嗎！？  份量： 餐點份量偏少，單點一份大約是2人份的量，若是家庭聚餐需要點很多吃的飽。 餐點：1/5  |  服務：3/5  |  氣氛：4/5  建議的餐點 蟹黃豆腐煲
餐點：4/5  |  服務：4/5  |  氣氛：3/5
食物非常美味，非常接近傳統的味道 他們應該完成，甚至做得更好。當我下次回到台灣時，我一定會再次光顧這家餐廳。所有功勞都歸功於廚師。 餐點：5/5  |  服務：3/5  |  氣氛：4/5
先說結論，我很喜歡耶，是江浙菜的真的江浙菜的感覺，每道都沒有什麼雷，都很好吃，有讓我們兩位同行專吃江浙菜的老人家感到滿意，尤其是對魚下巴，我想應該是真的有江浙感。我個人感想也是喜歡，口味較重有帶點甜，不管是韭黃鱔糊，烤方的紅燒肉還是紅燒魚下巴等等～ 不喜歡吃甜菜系的可能就要小心點了。  環境很不錯，雖然在大樓地下室，但沒有強烈的地下室感，空間寬敞舒適，洗手間也在附近很方便。這點是服務態度也很好很有耐心。有機會聚餐絕對會再訪。 建議的餐點 東坡肉 鄉村菜飯
餐點：4/5  |  服務：4/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
公會餐聚 場地?敞 餐點：4/5  |  服務：4/5  |  氣氛：4/5
味道服務都不錯，但杯子清潔有點問題 餐點：4/5  |  服務：5/5  |  氣氛：4/5
餐點：3/5  |  服務：4/5  |  氣氛：4/5
烤方大力推薦！韭黃鱔糊非常道地。 建議的餐點 刈包

餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 砂鍋醃鮮 雞湯
地道江浙菜。 餐點：4/5  |  服務：3/5  |  氣氛：3/5  建議的餐點 東坡肉 砂鍋醃鮮 雞湯 蝦鬆
週一到週五的午餐很舒服，客人不多，上菜快、冷氣強、小吃區安靜不吵鬧。每道菜都鮮甜美味，家裡的老一輩吃的很開心。 建議的餐點 東坡肉 掛包 前菜 蟹黃豆腐煲 刈包
餐廳位於地下一樓，可能是晚上關係，感覺空調有些悶。砂鍋醃篤鮮湯品濃郁、上海菜飯的乾貨味稍重、情人果蝦球、烤方甜味稍重。 可能是要追求翻桌率，吃不到一小時就表示外面有客人在等待位置，只好匆忙將水果打包外帶。
建議的餐點 東坡肉
餐點：2/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 東坡肉 削肉凍
訂8000元的桌菜的感想是CP值真的不高，菜色普通，雞湯裡還撈出一塊塑膠袋邊條，大家猜那是料理包，反應給服務人員，僅回說廚房較忙加減會發生，此外，既有合作的停車場，用餐的人為何還要自付停車費？雖然不多，但是卻是感覺問題，吃8000元桌菜再付停車費就覺得餐廳格局不大，個人感受僅供?考，多一星是給辛苦的服務人員。
這硝肉實在不像 .... 餐點：3/5  |  服務：5/5  |  氣氛：4/5
東西很好吃。服務體驗很差。 用餐到一點半就瘋狂來收東西 應該是趕下班了 餐點：4/5  |  服務：1/5  |  氣氛：2/5
服務一般菜色cp值低，口味差，雞湯竟然出現塑膠袋細條告知服務員回答竟是加減都會有沒有關係。。。連定包廂姓名都給改姓這樣的水準太差絕不會再光顧。 餐點：1/5  |  服務：2/5  |  氣氛：3/5  停車位 停車不方便  附近的停車場 付費停車位
訂桌菜結果連訂位大名都寫錯 然後菜色都滿鹹的 停車場並沒有合作需自費不能抵消 雞湯直接喝到塑膠包裝 與員工反應後 員工表示「廚房出菜加加減減難免」 整體感受度不佳 餐點：2/5  |  服務：1/5  |  氣氛：4/5

參加聚會，東西好吃，服務好氣氛佳，但是不清楚價格。 餐點：4/5  |  服務：5/5  |  氣氛：5/5

建議的餐點 東坡肉 刈包
點到的餐點每一樣都蠻好吃的！ 最優秀的是油飯和雞湯 服務整體也都OK，但～如果是介意用餐環境比較吵的朋友需考慮。

所有的菜都有一個很大的問題，火候不夠，栗子燒雞的栗子硬到牙差點崩掉，上海菜飯的米也不夠透，糖藕沒有綿密細緻的口感，其他餐點也普普，服務人員上菜及收拾碗碟的態度好像下班趕不上最後一班火車就回不了家般，奉勸沒去吃過的朋友這家可以跳過。 餐點：2/5  |  服務：2/5  |  氣氛：2/5
栗子燒雞的栗子還有生味，菜飯跟炒飯一樣粒粒皆清楚，餐具只要是砂鍋類的不是缺角就是龜裂，然後上菜速度就是一個趕你趕快衝，店家準備要休息的節奏，吃到汗都蹦出來了？真心不推薦來這裡用餐。 餐點：2/5  |  服務：3/5  |  氣氛：2/5
菜色不錯！但是今天有點太鹹了！廚師要注意

10幾個人聚餐還沒到八點，開始提醒營業時間快到了然後還說整層樓剩下我們，可是實際上是可以用餐到九點的??一個晚上提醒了n次！然後8:20左右竟然開始再給我們收餐具！4/29（205包廂）非常非常差勁的用餐感受
超熱情親切的服務，料理好吃炸蝦新鮮，佛跳牆滿滿的料
餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點美味，烤方包掛刈包，超好吃。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
每道料理都還在水準之上，好吃雞湯很大一鍋，比較適合5-6人以上享用；用餐環境就像辦桌宴客會場，位子很寬敞，不是走氣氛路線；服務尚可，沒什麼笑容。 建議的餐點 東坡肉

食材新鮮服務很棒 老人家推薦的老餐廳果然讚 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 蟹黃豆腐煲
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 Plain Stir-Fried Bean Sprouts Stewed Pork Intestines with Duck Blood Silver Thread Bun with Condensed Milk
餐點：4/5  |  服務：5/5  |  氣氛：2/5  建議的餐點 五更腸旺 招牌油雞 三杯中卷
好吃，現在已經不容易吃到小時後能吃的到的正宗川菜餐廳了 餐點：5/5  |  服務：4/5  |  氣氛：4/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 蒜泥白肉 五更腸旺 回鍋肉 招牌油雞 荷葉子排 四季肥腸 客家小炒
老店好吃但偏貴 建議的餐點 梅干扣肉
餐點：3/5  |  服務：3/5  |  氣氛：3/5
老台北人的記憶 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 蒜泥白肉 五更腸旺 三杯中卷 客家小炒
菜色都不錯吃，就是打烊時間比較早一點 餐點：5/5  |  服務：5/5  |  氣氛：5/5
有點年紀的餐館！口味真不錯！ 每道菜都是下飯神器阿～ 餐點：5/5  |  服務：4/5  |  氣氛：4/5
感覺上是有點「年代」的餐廳，名為「川菜」，卻完全吃不出川味，菜式沒有特色，沒有記憶點，很一般。 餐點：2/5  |  服務：4/5  |  氣氛：3/5
10人一桌的菜份量很少 餐點：2/5  |  服務：4/5  |  氣氛：4/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
老爸90歲生日辦在此 餐點：5/5  |  服務：5/5  |  氣氛：5/5
「正宗小魏川菜」交通地點方便是大優點，大致保有傳統老派餐廳的氣氛，口味平實，雖不致驚豔但中規中矩，是安全的店，價錢實惠，建議預約一些功夫菜。 餐點：4/5  |  服務：4/5  |  氣氛：4/5
以前在附近上班，很常是應酬聚餐的好地方！ 油雞、梅干扣肉、乾扁四季豆、宮保雞丁、地瓜葉皮蛋、涼筍、銀絲卷、鳳梨蝦球、蒜泥白肉、四季豆脆腸、蝦鬆 每道菜份量和口味都很棒也很懷念
建議的餐點 蒜泥白肉
餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
假日中午用餐沒有訂位，服務的姊姊們都很親切，五更腸旺比較偏四川麻辣不是豆瓣醬，鍋巴海鮮可惜鍋巴不是現炸沒有聲音，不過口味都很好吃，值得推薦的老餐廳 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點都不錯吃，份量也很足，味道偏甜的台式川菜口味 餐點：4/5  |  服務：5/5  |  氣氛：4/5
個人覺得廚藝可以，只是清潔衛生堪憂，三杯雞的炒鍋內竟然都是陳年污垢，沒洗乾淨，五更腸旺內也是感覺非現做，個人感覺是中央廚房成品 餐點：3/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 五更腸旺 酸辣湯
好吃 CP值高  停車場：可以停在台大兒童醫院 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 宮保雞丁 塔香茄子

老店重新整理，還是要老師傅才能做出好味道。少人數也好點菜。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
交通方便，價格不貴，口味一般般 餐點：4/5  |  服務：4/5  |  氣氛：4/5
很訝異google評分只有3.9，口味算清爽，雖然是川菜館，但麻、辣好像有刻意調減，餐廳環境整體乾淨、舒適，很適合闔家用餐。 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 蒜泥白肉 五更腸旺
場地很老舊 菜的口味水平參差不齊 椒麻雞份量奇少、三杯肥腸不入味、蟹黃豆腐稀稀口味寡淡、鍋巴蝦仁勾芡過重、獅子頭煲更是史上最雷的獅子頭，用麵粉黏糊一坨絞肉混隔夜腿肉的口感（不是全絞肉），整體比你家旁老舊社區內的夫妻檔快炒店還不如... 餐點：1/5  |  服務：2/5  |  氣氛：1/5
餐點：5/5  |  服務：5/5  |  氣氛：4/5
好吃。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
2016/11 難得一見的老川菜館，菜色跟口味都非常道地。服務跟環境也是老式的，懷舊的人會很滿意的。 2023/9 事隔多年再訪，裝潢翻新了，冷氣變強了，價格也變高了，口味還是一樣道地，但是份量明顯變少了，可惜  停車場：旁邊有台大兒童醫院停車場 餐點：2/5  |  服務：3/5  |  氣氛：2/5  建議的餐點 梅干扣肉  附近的停車場 付費停車位


有一個越南??的服務生很漂亮
出色的 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
每道菜都很好吃！ 餐點：5/5  |  服務：4/5  |  氣氛：5/5  建議的餐點 蒜泥白肉 客家小炒 酸辣湯
很不錯 餐點：4/5  |  服務：4/5  |  氣氛：4/5
歷史悠久的老餐廳 餐點：3/5  |  服務：3/5  |  氣氛：3/5
餐點：4/5  |  服務：3/5  |  氣氛：5/5
餐點：4/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 五更腸旺 招牌油雞
還可以試試 餐點：4/5  |  服務：3/5  |  氣氛：3/5
桌菜粵菜多於川菜 餐點：3/5  |  服務：4/5  |  氣氛：3/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：5/5  |  服務：4/5  |  氣氛：3/5
地點絕佳的老店，每樣餐點都相當好吃，適合帶親朋好友聚餐，建議先預約座位。 餐點：5/5  |  服務：4/5  |  氣氛：4/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
上菜很快，分量足夠。一個人不能點太多、下次再試試別的菜品。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
蝦子新鮮 餐點：5/5  |  服務：3/5  |  氣氛：3/5
因為是一家非常有歷史的餐廳，我們也是衝這個才去的，所以門面我們不是很在意，重要的是，菜色，菜色才是吸引我們最大的因素，我們對每道菜都非常滿意，質、量都非常滿意，尤其是嘴巴特刁的母親在臉上露出滿意的微笑之後，我們知道沒來錯地方 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 塔香茄子 招牌油雞 八寶鴨
餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 鍋巴蝦仁 四季肥腸
料理還不錯 餐點：3/5  |  服務：3/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
快樂父親節家聚 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 招牌油雞 四季肥腸 茄腸煲
用餐時段生意非常地好，還好有事先訂位。 當天點的菜色中，我推薦好吃的有五更腸旺、三杯中卷、糖醋里肌、蔥油雞、麻辣豆腐、乾扁四季豆、炸銀絲卷。但砂鍋牛腩是清燉的，裡面放有芋頭塊和蒜苗，和想像乾燒的有落差，但湯頭是好喝的，是清爽解膩的風味。 菜單的菜色非常多元，菜單上價格是小份的，如果人數較多，可以加價增量（中分*1.5、大分*2），兩人或多人用餐都很好點菜。這次還有很多菜沒吃到，近期應該會常光顧。 還有很棒的優點就是搭捷運到台北車站，M8出口隔壁就是餐廳，真得太方便了。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 宮保雞丁 三杯中卷
餐廳好吃，CP值很高很划算 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 招牌油雞 荷葉子排
樟茶鴨肉很材啃起來費勁，且味道略鹹。 三杯中卷味道好像糖醋，不香。 其他菜色雖不雷但普普，沒有可特別推薦的菜。 餐點：3/5  |  服務：3/5  |  氣氛：3/5
火車站的老川菜館 餐點：4/5  |  服務：4/5  |  氣氛：4/5

平價的聚餐點，交通超方便。 餐點：3/5  |  服務：4/5  |  氣氛：3/5

餐點：4/5  |  服務：4/5  |  氣氛：4/5
"喜愛吃川菜,懷念家常菜的,應該會喜歡,因為就在公司附近,所以他們家的菜對我來說是倒背如流, 荷葉排骨.干絲牛肉.魚香烘蛋.魚香茄子.五更腸旺.薑絲大腸.紅燒魚.辣子雞丁.客家小炒.油雞.松柏長青.... 餐點：4/5  |  服務：3/5  |  氣氛：3/5  建議的餐點 塔香茄子 荷葉排骨 招牌油雞 客家小炒"
小魏「川菜」慕名已久，一家人總算有機會到此品嚐「川菜」在10人包廂（低銷6000元）我們不吃桌菜，特別點家常菜，想品嚐廚師手藝。 不知是否週日生意太好，吃不到有鍋氣的家常菜，每道菜沒有它的記憶點，只有油、鹹。 或許我們距離川菜，已越來越遠 餐點：3/5  |  服務：4/5  |  氣氛：4/5

口味菜色道地， 環境衛生待加強，餐具都不乾淨。 服務態度也不佳。 餐點：3/5  |  服務：1/5  |  氣氛：1/5
位在交通方便的北車M8出口旁，老字號的川菜餐廳，已經二訪，但因為位在老舊大樓內，每次要坐電梯上去時都會很怕電梯會不會故障?  用餐時刻生意很好，如果人數多建議先打電話訂位，店內是可以刷卡的（消費滿1000即可），菜單選項眾多，要點滿1000並非難事。  二訪兩次都覺得餐點本身不錯沒有什麼雷的～不過用餐環境就?不太OK，坐在靠牆的位子，結果遇到小強爬上牆趕快跟朋友換了座位，吃完了有點心驚膽顫的一餐。 餐點：4/5  |  服務：4/5  |  氣氛：3/5
第一次來感覺生意非常不錯喔，！ 餐點：4/5  |  服務：4/5  |  氣氛：4/5
地點方便 北車M8出口 旁邊大樓3樓 餐點：3/5  |  服務：3/5  |  氣氛：3/5
七個大人三個小孩預約包廂的位子（低消五千元），開車的人可以把車停在台大兒童醫院地下停車場，禮拜六晚上位子還不少走路二分鐘就到。 點了魚香牛尾、鳳梨蝦球、炒高麗菜、招牌油雞、回鍋肉、鍋巴海鮮、砂鍋什錦、酸菜肚片湯、銀絲卷。 每一道菜都有一定水準，牛尾煮的非常軟爛好吃；鳳梨蝦球的蝦超級大隻；炒高麗菜好吃到我們點了第二次，還要大份的；鍋巴海鮮，調味剛好，鍋巴好吃到小孩一直想再吃；銀絲卷最厲害的是外酥內軟，絲毫沒有含油，真的功夫了得。 這個價格，這樣的地點，這樣的美味，就算從遠一點的地方專門來吃也不會失望的。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：3/5  |  服務：4/5  |  氣氛：3/5
來過多次，欲罷不能！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 荷葉排骨 鍋巴蝦仁 客家小炒
餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
CP值很高份量夠味道也棒
點了七菜一湯 六個人吃的好飽 味道很好 可惜冷氣太冷菜很快就涼了 不然應該可以再多吃兩碗飯 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 回鍋肉
推茄腸煲、蒜泥白肉、麻婆豆腐！ 餐點：5/5  |  服務：4/5  |  氣氛：4/5
餐廳還算寬敞，也有包廂。菜色多樣，口味中上。只是晚上用餐只到2130，有點早，多人聚餐無法盡興。還算可以推薦! 餐點：5/5  |  服務：4/5  |  氣氛：4/5
生意好的老字號川菜館！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
2023/6/25更新：吃很多年了，還是覺得超級好吃！台北正宗的川菜老店越來越少了。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 回鍋肉 客家小炒
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5

裝潢中，冷氣不冷大熱天吃的滿頭大汗無處可逃！ 餐點：4/5  |  服務：3/5  |  氣氛：1/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5

好吃 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 梅干扣肉 炸銀絲卷 五更腸旺 回鍋肉 招牌油雞

餐點：3/5  |  服務：4/5  |  氣氛：4/5
聚餐好去處，交通方便，東西好吃 餐點：5/5  |  服務：4/5  |  氣氛：4/5
餐點普通 店員態度不佳還要一成服務費 優勢在地點


獅子頭為推薦品項。 餐點：4/5  |  服務：4/5  |  氣氛：4/5
《台北美味小館》   #自己點 $3790(一桌)  #獅子頭砂鍋（4顆）$1000  是美味小館的鎮店招牌之一 有著跟壘球一樣大的獅子頭 一大鍋裡頭有四大顆 裡頭還有滿滿的白菜、番茄、粉絲及香菇  但我覺得很普通 哈哈哈哈  #老皮嫩肉  老皮嫩肉雖然在菜名裡頭有個肉字 但其實這道菜裡頭並沒有任何肉品 而是以豆腐軟嫩的口感來取代肉  我覺得很普通  ??推薦菜色  #老上海菜飯  鮮綠的青江菜 切碎後與米飯及金華火腿下鍋炒 鍋氣香濃 熱騰騰的米香 不太愛吃飯的我吃了3碗  #金莎中卷 $290  鹹蛋黃控必點！！！  #五更腸旺 $230  辣辣的但好好吃  2023.11.03二訪 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 客家小炒 老上海菜飯 大
食物和服務都很棒。砂鍋菜是這家餐廳的特色菜。燉菜中使用的是自製的酸納帕捲心菜，而不是普通的捲心菜。 宮保菜很棒。炸豆腐菜品很普通。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 超大紅燒獅子頭

口味道地，裝潢典雅，空間寬敞，服務親切，價位合宜，停車方便。 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 老上海菜飯 大 超大紅燒獅子頭 蒜泥白肉 超大獅子頭 豆干肉絲

比一般熱炒店貴 但是的確好吃很多 餐點：5/5  |  服務：4/5  |  氣氛：4/5
餐點：4/5  |  服務：3/5  |  氣氛：3/5
台北必訪名店沙鍋魚頭必點
推獅子頭、菜飯，其他有空再回來補，還要補照片。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5


獅子頭是台北第一名 餐點：5/5  |  服務：5/5  |  氣氛：5/5
晚上用餐時間，不知道為什麼一直喝水，大約十杯... 餐點：5/5  |  服務：4/5  |  氣氛：5/5  建議的餐點 超大紅燒獅子頭
美味好吃，價格實惠！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 超大紅燒獅子頭
獅子頭好吃 續湯無限 服務態度很好 餐點：4/5  |  服務：5/5  |  氣氛：4/5
上海菜飯好吃 獅子頭份量很大。 餐點：4/5  |  服務：3/5  |  氣氛：2/5

除了地方小一點外，別無挑剔 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 老上海菜飯 大
鹹蛋蝦仁，口水雞，鹽酥蝦不錯，獅子頭內的白菜也不錯。 餐點：4/5  |  服務：3/5  |  氣氛：4/5
今晚朋友約在台北美味小館小聚，三人點了魚頭砂鍋+2個獅子頭，口水雞，白菜炒臘肉和三瓶台啤。魚頭炸的過頭，煮後就像樹皮，毫無口感，口水雞完全不正宗。最糟的是沙鍋一會就涼了，請服務人員加熱一下，服務人員冷冷的回應：沒有可以加熱的爐!我就不懂這沙鍋是用什麼爐煮出來的。拖了10分鐘加了一瓢熱湯，但是整鍋的材料還是冷的。這種店居然還能在台北存活，我也是醉了。這是我第一次給1星，服務太差的餐廳了! 餐點：1/5  |  服務：1/5  |  氣氛：1/5
口味好，生意好所以坐位較不寬敞。 餐點：5/5  |  服務：4/5  |  氣氛：3/5

東西好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5

一定要嚐嚐獅子頭和菜飯，經濟實惠，美味可口 餐點：5/5  |  服務：4/5  |  氣氛：4/5
砂鍋好吃，綜合來說口味偏重鹹。 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 超大紅燒獅子頭 砂鍋魚頭

有好一陣子沒有來這裡用餐了，應該是重新裝潢之後就沒來過，前天去吃美味小館，用餐環境和廁所空間比以前好很多，但是主要的餐點口味.............，和以前差好多 ，不知道是不是師傅換人了，每道菜色好鹹，涼拌高麗菜絲味素加很多，砂鍋魚頭湯的湯頭變得很濁、鹹又油，我吃完以後身體(心臟)不是很舒服，點的菜色裡面只有口水雞口味還可以(砂鍋魚頭 口水雞 苦盡甘來 臭豆腐 菜飯還有一道菜 我忘了是啥) 菜飯好可惜 無味道，沒有之前的菜飯香味。雖然知道疫情過後要給店家加油，但是還是要說出真心話，總結 這餐廳的口味現在不行了，還有就是飯後砂鍋魚頭有打包，餐廳很不用心 ，砂鍋魚頭有魚刺，但是餐廳隨便打包 湯類居然只有包一層而已，後來魚刺把塑膠袋刺破 湯撒的我車上都是，很不用心的店家。 餐點：2/5  |  服務：1/5  |  氣氛：4/5
